Host Name,Device IP,Device Type,Device Status,Device Vendor,Device Model,Serial Number,Software Version,Firmware Version,Free Ports,Total Ports,Ports In Use,Uptime,Last Successful Snapshot,Last Snapshot Attempt,Last Snapshot Result,Device Type Standard,associatedWlcIp,deviceSupportLevel,dnsResolvedManagementAddress,errorCode,family,id,instanteTenantId,instanteUuid,interfaceCount,inventoryStatusDetail,lastDeviceResyncStartTime,lastManagedResyncReasons,lastUpdated,lastUpdateTime,lineCardCount,lineCardId,location,locationName,macAddress,managedAtleastOnce,managementState,memorySize,pendingSyncRequestsCount,platformId,reachabilityFailureReason,reachabilityStatus,reasonsForDeviceResync,reasonsForPendingSyncRequests,role,roleSource,serialNumber,series,snmpContact,softwareType,softwareVersion,syncRequestedByApp,tagCount,tunnelUdpPort,type,upTime,uptimeSeconds,vendor,waasDeviceMode,Unnamed: 44,clientCount,clientCount_2_4GHz,clientCount_5GHz,controllerIpAddress,controllerName,countryCode,ethernetMac,hreapEnabled,ipAddress,lwappUpTime,model,status,DateAdded,adminStatus,ArchiveDate,collectionStatus,collectionTime,creationTime,deviceType,managementStatus,manufacturer_part_name,manufacturer_part_partNumber,manufacturer_part_serialNumber,productFamily,reachability,Site Code Extracted,State,Model,EoS,EoL,In Scope?,Repl Device,Material Cost,Labor Cost,Device Cost,latitude,longitude,county,affiliate,Owner,Exception_Flag,Exception_Reason,EoL_Date,Days_to_EoL,EoS_Date,Days_to_EoS
NCGRASW0101,33.1.28.88,Router,Active,Cisco,CGS-2520-24TC,QOC3773Z39X,27.0(2)ED2,Bootstrap,1.0,26.0,25.0,11d:16h:22m:0s,Jan-23-26 02:21:07,Jan-23-26 02:21:07,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRA,NC,CGS-2520-24TC,2022-01-11,2027-01-31,Yes,IE-4010-16S12P,4450.68,1790.0,3618.9,36.409095,-78.595254,Granville,FO-SPC-PLANT SUPPORT 3 BLT HUB,SPC,False,,2027-01-31,336.0,2022-01-11,-1510.0
ALYPCSW02,33.135.255.228,Router,Active,Cisco,CGS-2520-16S-8PC,QOC3735T8HU,27.2(8)E2,Bootstrap,0.0,26.0,26.0, ,Jan-23-26 01:12:35,Jan-23-26 01:12:35,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YPC,AL,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,IE-4010-16S12P,4450.68,1790.0,3618.9,31.293863,-85.579891,DALE,FO-AL-DOTHAN WEST,APC,False,,2027-01-31,336.0,2022-01-11,-1510.0
ALCPSSWCAMENTERPRISE1,33.152.335.21,Router,Active,Cisco,CGS-2520-16S-8PC,QOC7788W3BT,27.0(2)SE2,Bootstrap,0.0,26.0,26.0,816d:3h:53m:0s,Jan-23-26 01:03:37,Jan-23-26 01:03:37,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPS,AL,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,IE-4010-16S12P,4450.68,1790.0,3618.9,33.435593,-86.727862,Jefferson,FO-AL-BIRMINGHAM NORTHEAST,SCS,False,,2027-01-31,336.0,2022-01-11,-1510.0
ALCPSSWWDECK01,33.152.335.28,Router,Active,Cisco,CGS-2520-16S-8PC,QOC7757W79P,27.0(2)SE2,Bootstrap,16.0,26.0,10.0,99d:18h:49m:0s,Jan-23-26 02:08:54,Jan-23-26 02:08:54,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPS,AL,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,IE-4010-16S12P,4450.68,1790.0,3618.9,33.435593,-86.727862,Jefferson,FO-AL-BIRMINGHAM NORTHEAST,SCS,False,,2027-01-31,336.0,2022-01-11,-1510.0
ALYBNSW02,33.88.182.2,Router,Active,Cisco,CGS-2520-16S-8PC,QOC3739T8CW,27.2(8)E2,Bootstrap,0.0,26.0,26.0,1181d:3h:14m:0s,Jan-23-26 02:17:59,Jan-23-26 02:17:59,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YBN,AL,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,IE-4010-16S12P,4450.68,1790.0,3618.9,32.651253,-86.732603,Autauga,FO-AL-MONTGOMERY WEST,APC,False,,2027-01-31,336.0,2022-01-11,-1510.0
ALLCOSW0101,33.88.180.188,Router,Active,Cisco,CGS-2520-24TC,QOC3773Z399,27.0(2)ED2,Bootstrap,1.0,26.0,25.0, ,Jan-23-26 02:00:30,Jan-23-26 02:00:30,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCO,AL,CGS-2520-24TC,2022-01-11,2027-01-31,Yes,IE-4010-16S12P,4450.68,1790.0,3618.9,33.524605,-86.580881,Jefferson,FO-AL-BIRMINGHAM EAST,APC,False,,2027-01-31,336.0,2022-01-11,-1510.0
ALPGDSWMW02,33.88.22.132,Router,Active,Cisco,CGS-2520-24TC,QOC7838Z8BC,27.0(2)EK2,Bootstrap,0.0,26.0,26.0,1801d:22h:10m:0s,Jan-23-26 01:01:43,Jan-23-26 01:01:43,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PGD,AL,CGS-2520-24TC,2022-01-11,2027-01-31,Yes,IE-4010-16S12P,4450.68,1790.0,3618.9,34.013076,-85.978725,Etowah,FO-AL-GADSDEN,APC,False,,2027-01-31,336.0,2022-01-11,-1510.0
ALYCISW02,33.88.52.130,Router,Active,Cisco,CGS-2520-16S-8PC,QOC3778Z78Z,27.0(2)ED2,Bootstrap,0.0,26.0,26.0,1362d:3h:30m:0s,Jan-23-26 01:21:39,Jan-23-26 01:21:39,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YCI,AL,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,IE-4010-16S12P,4450.68,1790.0,3618.9,30.763042,-88.058875,Mobile,FO-AL-MOBILE SOUTHEAST,APC,False,,2027-01-31,336.0,2022-01-11,-1510.0
ALYEISW02,33.88.52.88,Router,Active,Cisco,CGS-2520-16S-8PC,QOC3379T7Q3,27.2(7)E2,Bootstrap,0.0,26.0,26.0,1108d:2h:57m:0s,Jan-23-26 02:08:29,Jan-23-26 02:08:29,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YEI,AL,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,IE-4010-16S12P,4450.68,1790.0,3618.9,30.996064,-88.030258,Mobile,FO-AL-MOBILE BARRY,APC,False,,2027-01-31,336.0,2022-01-11,-1510.0
ALYSNSW02,33.88.55.130,Router,Active,Cisco,CGS-2520-16S-8PC,QOC3775Z775,27.2(8)E2,Bootstrap,0.0,26.0,26.0,1032d:1h:44m:0s,Jan-23-26 01:17:37,Jan-23-26 01:17:37,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YSN,AL,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,IE-4010-16S12P,4450.68,1790.0,3618.9,32.228998,-86.260089,MONTGOMERY,FO-AL-MONTGOMERY WEST,APC,False,,2027-01-31,336.0,2022-01-11,-1510.0
