Host Name,Device IP,Device Type,Device Status,Device Vendor,Device Model,Serial Number,Software Version,Firmware Version,Free Ports,Total Ports,Ports In Use,Uptime,Last Successful Snapshot,Last Snapshot Attempt,Last Snapshot Result,Device Type Standard,associatedWlcIp,deviceSupportLevel,dnsResolvedManagementAddress,errorCode,family,id,instanteTenantId,instanteUuid,interfaceCount,inventoryStatusDetail,lastDeviceResyncStartTime,lastManagedResyncReasons,lastUpdated,lastUpdateTime,lineCardCount,lineCardId,location,locationName,macAddress,managedAtleastOnce,managementState,memorySize,pendingSyncRequestsCount,platformId,reachabilityFailureReason,reachabilityStatus,reasonsForDeviceResync,reasonsForPendingSyncRequests,role,roleSource,serialNumber,series,snmpContact,softwareType,softwareVersion,syncRequestedByApp,tagCount,tunnelUdpPort,type,upTime,uptimeSeconds,vendor,waasDeviceMode,Unnamed: 44,clientCount,clientCount_2_4GHz,clientCount_5GHz,controllerIpAddress,controllerName,countryCode,ethernetMac,hreapEnabled,ipAddress,lwappUpTime,model,status,DateAdded,adminStatus,ArchiveDate,collectionStatus,collectionTime,creationTime,deviceType,managementStatus,manufacturer_part_name,manufacturer_part_partNumber,manufacturer_part_serialNumber,productFamily,reachability,Site Code Extracted,State,Model,EoS,EoL,In Scope?,Repl Device,Material Cost,Labor Cost,Device Cost,latitude,longitude,county,affiliate,Owner,Exception_Flag,Exception_Reason,EoL_Date,Days_to_EoL
MSGSISW01,33.133.12.5,Switch,Active,Cisco,WS-C2960S-48FPS-L,"QOC7877Y8H8,QOC7877Y8GK",27.0(2)SE3,Bootstrap,1.0,105.0,104.0,1034d:16h:55m:0s,Jan-23-26 02:10:57,Jan-23-26 02:10:57,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSI,MS,WS-C2960S-48FPS-L,2015-11-06,2020-11-30,Yes,C9200-48P-E,5812.704,1540.0,3504.85,30.366826,-89.094057,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,True,Decommissioned site,2020-11-30,-1917.0
MSGSISW02,33.133.12.5,Switch,Active,Cisco,WS-C2960S-48FPS-L,"QOC7877Y8GQ,QOC7877Y8H7",27.0(2)SE3,Bootstrap,4.0,105.0,101.0,108d:20h:14m:0s,Jan-23-26 02:08:57,Jan-23-26 02:08:57,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSI,MS,WS-C2960S-48FPS-L,2015-11-06,2020-11-30,Yes,C9200-48P-E,5812.704,1540.0,3504.85,30.366826,-89.094057,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,True,Decommissioned site,2020-11-30,-1917.0
MSGSIROVG01,33.133.12.8,Router,Active,Cisco,VG224,QTX7838ZH8D,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,1034d:17h:56m:0s,Jan-23-26 01:08:37,Jan-23-26 01:08:37,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSI,MS,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,4015.584,770.0,3256.32,30.366826,-89.094057,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,True,Decommissioned site,2020-04-30,-2131.0
MSPSWSWCOMM01,33.133.13.2,L3Switch,Active,Cisco,C9200-24P,QOC388733Z3,27.09.07,37.9.3r [FC33],3.0,34.0,31.0, ,Jan-23-26 02:00:57,Jan-23-26 02:00:57,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSW,MS,C9200-24P,,,,,0.0,0.0,,32.293026,-88.744847,Lauderdale,FO-MS-O-NORTH,MPC,True,Decommissioned site,,
MSPSWSW0301,33.133.13.3,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC7787Y8LT,27.2(7)E7,Bootstrap,0.0,10.0,10.0,0d:0h:2m:0s,Jan-23-26 01:08:48,Jan-23-26 01:08:48,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSW,MS,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,1662.7800000000002,1540.0,956.65,32.293026,-88.744847,Lauderdale,FO-MS-O-NORTH,MPC,True,Decommissioned site,2025-10-31,-121.0
MSPSWSWGATE01,33.133.13.5,Switch,Active,Cisco,IE-3300-8P2S,QCW3738Y7R8,27.09.04a,IOS-XE,0.0,11.0,11.0, ,Jan-23-26 01:38:21,Jan-23-26 01:38:21,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSW,MS,IE-3300-8P2S,,,,,108.0,0.0,,32.293026,-88.744847,Lauderdale,FO-MS-O-NORTH,MPC,True,Decommissioned site,,
MSREDSWADMIN02,33.133.85.130,Switch,Active,Cisco,WS-C2960S-48FPS-L,QOC7789Z33P,27.0(2)SE3,Bootstrap,4.0,53.0,49.0,1189d:20h:34m:0s,Jan-23-26 01:01:30,Jan-23-26 01:01:30,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED,MS,WS-C2960S-48FPS-L,2015-11-06,2020-11-30,Yes,C9200-48P-E,5812.704,1540.0,3504.85,33.37721,-89.212273,Choctaw,FO-MS-O-NORTH,MPC,True,Decommissioned site,2020-11-30,-1917.0
MSREDSWADMIN01,33.133.85.88,Switch,Active,Cisco,WS-C2960S-48FPS-L,QOC7853Z737,27.0(2)SE3,Bootstrap,2.0,53.0,51.0,1190d:1h:4m:0s,Jan-23-26 02:10:07,Jan-23-26 02:10:07,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED,MS,WS-C2960S-48FPS-L,2015-11-06,2020-11-30,Yes,C9200-48P-E,5812.704,1540.0,3504.85,33.37721,-89.212273,Choctaw,FO-MS-O-NORTH,MPC,True,Decommissioned site,2020-11-30,-1917.0
MSREDSWTURBINE01,33.133.85.80,Switch,Active,Cisco,IE-3000-8TC,QOC7787W7H8,27.0(2)EY2,Bootstrap,1.0,10.0,9.0, ,Jan-23-26 02:02:20,Jan-23-26 02:02:20,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED,MS,IE-3000-8TC,2020-06-30,2025-06-30,Yes,IE-3300-8P2S-E,4937.640000000001,1790.0,3557.53,33.37721,-89.212273,Choctaw,FO-MS-O-NORTH,MPC,True,Decommissioned site,2025-06-30,-244.0
MSREDSWWHSE01,33.133.85.01,Switch,Active,Cisco,IE-3000-8TC,QOC7778X3KZ,27.2(4)EA9,Bootstrap,2.0,10.0,8.0,123d:23h:58m:0s,Jan-23-26 02:02:11,Jan-23-26 02:02:11,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED,MS,IE-3000-8TC,2020-06-30,2025-06-30,Yes,IE-3300-8P2S-E,4937.640000000001,1790.0,3557.53,33.37721,-89.212273,Choctaw,FO-MS-O-NORTH,MPC,True,Decommissioned site,2025-06-30,-244.0
