Host Name,Device IP,Device Type,Device Status,Device Vendor,Device Model,Serial Number,Software Version,Firmware Version,Free Ports,Total Ports,Ports In Use,Uptime,Last Successful Snapshot,Last Snapshot Attempt,Last Snapshot Result,Device Type Standard,associatedWlcIp,deviceSupportLevel,dnsResolvedManagementAddress,errorCode,family,id,instanteTenantId,instanteUuid,interfaceCount,inventoryStatusDetail,lastDeviceResyncStartTime,lastManagedResyncReasons,lastUpdated,lastUpdateTime,lineCardCount,lineCardId,location,locationName,macAddress,managedAtleastOnce,managementState,memorySize,pendingSyncRequestsCount,platformId,reachabilityFailureReason,reachabilityStatus,reasonsForDeviceResync,reasonsForPendingSyncRequests,role,roleSource,serialNumber,series,snmpContact,softwareType,softwareVersion,syncRequestedByApp,tagCount,tunnelUdpPort,type,upTime,uptimeSeconds,vendor,waasDeviceMode,Unnamed: 44,clientCount,clientCount_2_4GHz,clientCount_5GHz,controllerIpAddress,controllerName,countryCode,ethernetMac,hreapEnabled,ipAddress,lwappUpTime,model,status,DateAdded,IsReachable,IsReachable2,adminStatus,ArchiveDate,collectionStatus,collectionTime,creationTime,deviceType,managementStatus,manufacturer_part_name,manufacturer_part_partNumber,manufacturer_part_serialNumber,productFamily,reachability,Site Code Extracted,State,Model,EoS,EoL,In Scope?,Repl Device,ReplaceNow,PrepareToReplace,Material Cost,Labor Cost,Device Cost,latitude,longitude,county,affiliate,Owner,Exception_Flag,Exception_Reason,EoL_Date,Days_to_EoL,EoS_Date,Days_to_EoS
CABKWLHLINT01,33.1.20.235,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3873Y73W,27.2(2)E8, ,0.0,10.0,10.0, ,Jan-23-26 02:09:13,Jan-23-26 02:09:13,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BKW,CA,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,Replace,Do Not Replace,1662.7800000000002,1540.0,956.65,35.618738,-119.854107,KERN,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,False,,2025-10-31,-122.0,2020-10-30,-1949.0
ALANASW0201,33.1.23.80,Switch,Active,Cisco,WS-C2960C-8PC-L,QOT7939W77Y,27.0(2)SE8,Bootstrap,4.0,10.0,6.0,229d:8h:22m:0s,Jan-23-26 01:17:11,Jan-23-26 01:17:11,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANA,AL,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,Replace,Do Not Replace,1662.7800000000002,1540.0,956.65,33.685102,-85.972976,Calhoun,FO-AL-ANNISTON,APC,False,,2025-10-31,-122.0,2020-10-30,-1949.0
ALANASW0401,33.1.23.01,Switch,Active,Cisco,IE-3000-8TC,QOC3738Z3RB,27.0(2)EY3,Bootstrap,5.0,10.0,5.0,417d:3h:25m:0s,Jan-23-26 02:05:17,Jan-23-26 02:05:17,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANA,AL,IE-3000-8TC,2020-06-30,2025-06-30,Yes,IE-3300-8P2S-E,Replace,Do Not Replace,4937.640000000001,1790.0,3557.53,33.685102,-85.972976,Calhoun,FO-AL-ANNISTON,APC,False,,2025-06-30,-245.0,2020-06-30,-2071.0
GAFGDSW0101,33.1.28.2,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3777W7YT,27.0(2)SE8,Bootstrap,0.0,10.0,10.0, ,Jan-23-26 01:04:44,Jan-23-26 01:04:44,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FGD,GA,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,Replace,Do Not Replace,1662.7800000000002,1540.0,956.65,33.38297,-82.13626,Richmond,FO-GA-SE-AUGUSTA 2,GPC,False,,2025-10-31,-122.0,2020-10-30,-1949.0
GAFSRSW0101,33.1.28.35,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3777W7Z7,27.0(2)SE8,Bootstrap,3.0,10.0,7.0,181d:20h:55m:0s,Jan-23-26 02:17:38,Jan-23-26 02:17:38,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSR,GA,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,Replace,Do Not Replace,1662.7800000000002,1540.0,956.65,31.894289,-81.590406,Liberty,FO-GA-SE-SAVANNAH 3,GPC,False,,2025-10-31,-122.0,2020-10-30,-1949.0
GAKGBSW0101,33.1.28.88,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3777W778,27.0(2)SE8,Bootstrap,0.0,10.0,10.0,495d:4h:27m:0s,Jan-23-26 01:08:01,Jan-23-26 01:08:01,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KGB,GA,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,Replace,Do Not Replace,1662.7800000000002,1540.0,956.65,30.82792,-81.55613,Camden,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,False,,2025-10-31,-122.0,2020-10-30,-1949.0
GAXGZSW04,33.33.182.5,L3Switch,Active,Cisco,WS-C3850-24T,QOC7938X38M,28.22.24,IOS-XE,0.0,33.0,33.0,1742d:4h:24m:0s,Jan-23-26 02:08:44,Jan-23-26 02:08:44,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGZ,GA,WS-C3850-24T,2020-10-30,2025-10-31,Yes,C9300-24T-E,Replace,Do Not Replace,3824.472,1540.0,2415.37,33.76361,-84.38194,Fulton,FO-GA-NE-METRO SOUTHEAST,GPC,False,,2025-10-31,-122.0,2020-10-30,-1949.0
ALXAZSW04,33.33.183.5,L3Switch,Active,Cisco,WS-C3850-24T,QOC7938U7UK,28.22.24,IOS-XE,0.0,33.0,33.0,1130d:7h:38m:0s,Jan-23-26 02:14:30,Jan-23-26 02:14:30,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAZ,AL,WS-C3850-24T,2020-10-30,2025-10-31,Yes,C9300-24T-E,Replace,Do Not Replace,3824.472,1540.0,2415.37,33.518603,-86.812287,Jefferson,FO-APCCORP-APC CORP HQ BLT HUB,APC,False,,2025-10-31,-122.0,2020-10-30,-1949.0
GAHRTSWWAN01,33.33.188.88,Switch,Active,Cisco,IE-3000-4TC,QOC7857W3LQ,27.0(2)EY2,Bootstrap,0.0,6.0,6.0,1507d:1h:39m:0s,Jan-23-26 01:39:47,Jan-23-26 01:39:47,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRT,GA,IE-3000-4TC,2020-06-30,2025-06-30,Yes,IE-3300-8P2S-E,Replace,Do Not Replace,4937.640000000001,1790.0,3557.53,34.325398,-82.966561,Hart,FO-GA-NE-ATHENS EAST,GPC,False,,2025-06-30,-245.0,2020-06-30,-2071.0
ALXAPSWAUDIT01,33.115.18.5,L3Switch,Active,Cisco,WS-C3850-48T,QOC3777X7MM,03.07.02E,IOS-XE,0.0,57.0,57.0,1130d:7h:8m:0s,Jan-23-26 01:14:48,Jan-23-26 01:14:48,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAP,AL,WS-C3850-48T,2020-10-30,2025-10-31,Yes,C9300-48T-E,Replace,Do Not Replace,6294.120000000001,1540.0,3996.14,33.518603,-86.812287,Jefferson,FO-APCCORP-APC CORP HQ BLT HUB,APC,False,,2025-10-31,-122.0,2020-10-30,-1949.0
MSHMFROVG02,33.133.335.33,Router,Active,Cisco,VG224,QTX7973ZHKH,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,1033d:22h:32m:0s,Jan-23-26 02:08:40,Jan-23-26 02:08:40,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMF,MS,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,31.347122,-89.3183,Forrest,FO-MS-O-CENTRAL,MPC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
