Host Name,Device IP,Device Type,Device Status,Device Vendor,Device Model,Serial Number,Software Version,Firmware Version,Free Ports,Total Ports,Ports In Use,Uptime,Last Successful Snapshot,Last Snapshot Attempt,Last Snapshot Result,Device Type Standard,associatedWlcIp,deviceSupportLevel,dnsResolvedManagementAddress,errorCode,family,id,instanteTenantId,instanteUuid,interfaceCount,inventoryStatusDetail,lastDeviceResyncStartTime,lastManagedResyncReasons,lastUpdated,lastUpdateTime,lineCardCount,lineCardId,location,locationName,macAddress,managedAtleastOnce,managementState,memorySize,pendingSyncRequestsCount,platformId,reachabilityFailureReason,reachabilityStatus,reasonsForDeviceResync,reasonsForPendingSyncRequests,role,roleSource,serialNumber,series,snmpContact,softwareType,softwareVersion,syncRequestedByApp,tagCount,tunnelUdpPort,type,upTime,uptimeSeconds,vendor,waasDeviceMode,Unnamed: 44,clientCount,clientCount_2_4GHz,clientCount_5GHz,controllerIpAddress,controllerName,countryCode,ethernetMac,hreapEnabled,ipAddress,lwappUpTime,model,status,DateAdded,adminStatus,ArchiveDate,collectionStatus,collectionTime,creationTime,deviceType,managementStatus,manufacturer_part_name,manufacturer_part_partNumber,manufacturer_part_serialNumber,productFamily,reachability,Site Code Extracted,State,Model,EoS,EoL,In Scope?,Repl Device,Material Cost,Labor Cost,Device Cost,latitude,longitude,county,affiliate,Owner,Exception_Flag,Exception_Reason,EoL_Date,Days_to_EoL,EoS_Date,Days_to_EoS
CABKWLHLINT01,33.1.20.235,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3873Y73W,27.2(2)E8, ,0.0,10.0,10.0, ,Jan-23-26 02:09:13,Jan-23-26 02:09:13,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BKW,CA,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,1662.7800000000002,1540.0,956.65,35.618738,-119.854107,KERN,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,False,,2025-10-31,-121.0,2020-10-30,-1948.0
ALANASW0101,33.1.23.88,Switch,Active,Cisco,WS-C2960X-24PS-L,QOC3737W38N,27.2(2)E3,Bootstrap,23.0,29.0,6.0,80d:18h:25m:0s,Jan-23-26 02:15:13,Jan-23-26 02:15:13,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANA,AL,WS-C2960X-24PS-L,2022-10-31,2027-10-31,Yes,C9200-24P-E,2928.12,1540.0,1668.46,33.685102,-85.972976,Calhoun,FO-AL-ANNISTON,APC,False,,2027-10-31,609.0,2022-10-31,-1217.0
ALANASW0201,33.1.23.80,Switch,Active,Cisco,WS-C2960C-8PC-L,QOT7939W77Y,27.0(2)SE8,Bootstrap,4.0,10.0,6.0,229d:8h:22m:0s,Jan-23-26 01:17:11,Jan-23-26 01:17:11,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANA,AL,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,1662.7800000000002,1540.0,956.65,33.685102,-85.972976,Calhoun,FO-AL-ANNISTON,APC,False,,2025-10-31,-121.0,2020-10-30,-1948.0
ALANASW0401,33.1.23.01,Switch,Active,Cisco,IE-3000-8TC,QOC3738Z3RB,27.0(2)EY3,Bootstrap,5.0,10.0,5.0,417d:3h:25m:0s,Jan-23-26 02:05:17,Jan-23-26 02:05:17,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANA,AL,IE-3000-8TC,2020-06-30,2025-06-30,Yes,IE-3300-8P2S-E,4937.640000000001,1790.0,3557.53,33.685102,-85.972976,Calhoun,FO-AL-ANNISTON,APC,False,,2025-06-30,-244.0,2020-06-30,-2070.0
OKGRPROWN01,33.1.25.85,Router,Active,Cisco,ISR4331/K9,QLM3737W7ZK,27.09.03a,33.37(7r),2.0,8.0,6.0,991d:0h:39m:0s,Jan-23-26 02:17:18,Jan-23-26 02:17:18,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRP,OK,ISR4331/K9,2023-11-07,2028-11-30,Yes,C8300-1N1S-6T,12421.116,2060.0,5243.73,36.926726,-97.666664,Grant,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,False,,2028-11-30,1005.0,2023-11-07,-845.0
NCRTHROWN01,33.1.28.183,Router,Active,Cisco,ISR4331/K9,QLM3887738W,27.09.03a,37.3.7,1.0,8.0,7.0,181d:16h:55m:0s,Jan-23-26 02:08:42,Jan-23-26 02:08:42,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTH,NC,ISR4331/K9,2023-11-07,2028-11-30,Yes,C8300-1N1S-6T,12421.116,2060.0,5243.73,35.254562,-81.832181,Rutherford,FO-SPC-PLANT SUPPORT 3 BLT HUB,SPC,False,,2028-11-30,1005.0,2023-11-07,-845.0
GAFGDSW0101,33.1.28.2,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3777W7YT,27.0(2)SE8,Bootstrap,0.0,10.0,10.0, ,Jan-23-26 01:04:44,Jan-23-26 01:04:44,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FGD,GA,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,1662.7800000000002,1540.0,956.65,33.38297,-82.13626,Richmond,FO-GA-SE-AUGUSTA 2,GPC,False,,2025-10-31,-121.0,2020-10-30,-1948.0
GAFSRSW0101,33.1.28.35,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3777W7Z7,27.0(2)SE8,Bootstrap,3.0,10.0,7.0,181d:20h:55m:0s,Jan-23-26 02:17:38,Jan-23-26 02:17:38,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSR,GA,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,1662.7800000000002,1540.0,956.65,31.894289,-81.590406,Liberty,FO-GA-SE-SAVANNAH 3,GPC,False,,2025-10-31,-121.0,2020-10-30,-1948.0
GAFSRSW0201,33.1.28.30,Switch,Active,Cisco,WS-C2960CX-8PC-L,QOC3533L9LE,27.2(4)E7,Bootstrap,0.0,12.0,12.0, ,Jan-23-26 02:16:44,Jan-23-26 02:16:44,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSR,GA,WS-C2960CX-8PC-L,2024-04-30,2029-04-30,,,108.0,1540.0,,31.894289,-81.590406,Liberty,FO-GA-SE-SAVANNAH 3,GPC,False,,2029-04-30,1156.0,2024-04-30,-670.0
GAFGDSW0201,33.1.28.5,Switch,Active,Cisco,WS-C2960CX-8PC-L,QOC3533L9QZ,27.2(4)E7,Bootstrap,0.0,12.0,12.0, ,Jan-23-26 02:20:43,Jan-23-26 02:20:43,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FGD,GA,WS-C2960CX-8PC-L,2024-04-30,2029-04-30,,,108.0,1540.0,,33.38297,-82.13626,Richmond,FO-GA-SE-AUGUSTA 2,GPC,False,,2029-04-30,1156.0,2024-04-30,-670.0
