Host Name,Device IP,Device Type,Device Status,Device Vendor,Device Model,Serial Number,Software Version,Firmware Version,Free Ports,Total Ports,Ports In Use,Uptime,Last Successful Snapshot,Last Snapshot Attempt,Last Snapshot Result,Device Type Standard,associatedWlcIp,deviceSupportLevel,dnsResolvedManagementAddress,errorCode,family,id,instanteTenantId,instanteUuid,interfaceCount,inventoryStatusDetail,lastDeviceResyncStartTime,lastManagedResyncReasons,lastUpdated,lastUpdateTime,lineCardCount,lineCardId,location,locationName,macAddress,managedAtleastOnce,managementState,memorySize,pendingSyncRequestsCount,platformId,reachabilityFailureReason,reachabilityStatus,reasonsForDeviceResync,reasonsForPendingSyncRequests,role,roleSource,serialNumber,series,snmpContact,softwareType,softwareVersion,syncRequestedByApp,tagCount,tunnelUdpPort,type,upTime,uptimeSeconds,vendor,waasDeviceMode,Unnamed: 44,clientCount,clientCount_2_4GHz,clientCount_5GHz,controllerIpAddress,controllerName,countryCode,ethernetMac,hreapEnabled,ipAddress,lwappUpTime,model,status,DateAdded,adminStatus,ArchiveDate,collectionStatus,collectionTime,creationTime,deviceType,managementStatus,manufacturer_part_name,manufacturer_part_partNumber,manufacturer_part_serialNumber,productFamily,reachability,Site Code Extracted,Model,EoS,EoL,In Scope?,Site Name,Street Address 1,Street Address 2,City,State,Zip,Latitude,Longitude,PhysicalAddressCounty,Call Group,Owner,Exception_Flag,Exception_Reason,EoL_Date,Days_to_EoL
NCGRASW0101,33.1.28.88,Router,Active,Cisco,CGS-2520-24TC,QOC3773Z39X,27.0(2)ED2,Bootstrap,1.0,26.0,25.0,11d:16h:22m:0s,Jan-23-26 02:21:07,Jan-23-26 02:21:07,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRA,CGS-2520-24TC,2022-01-11,2027-01-31,Yes,Granville Solar,7157 US HWY 15 N,,OXFORD,NC,27565-6738,36.409095,-78.595254,Granville,FO-SPC-PLANT SUPPORT 3 BLT HUB,SPC,False,,2027-01-31,336.0
ALYPCSW02,33.135.255.228,Router,Active,Cisco,CGS-2520-16S-8PC,QOC3735T8HU,27.2(8)E2,Bootstrap,0.0,26.0,26.0, ,Jan-23-26 01:12:35,Jan-23-26 01:12:35,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YPC,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,Pinckard TS,1835 COUNTY ROAD 9,,NEWTON,AL,36352,31.293863,-85.579891,DALE,FO-AL-DOTHAN WEST,APC,False,,2027-01-31,336.0
ALCPSSWCAMENTERPRISE1,33.152.335.21,Router,Active,Cisco,CGS-2520-16S-8PC,QOC7788W3BT,27.0(2)SE2,Bootstrap,0.0,26.0,26.0,816d:3h:53m:0s,Jan-23-26 01:03:37,Jan-23-26 01:03:37,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPS,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,Colonnade South,3535 COLONNADE PKWY BLDG SOUTH,,BIRMINGHAM,AL,35243-2346,33.435593,-86.727862,Jefferson,FO-AL-BIRMINGHAM NORTHEAST,SCS,False,,2027-01-31,336.0
ALCPSSWWDECK01,33.152.335.28,Router,Active,Cisco,CGS-2520-16S-8PC,QOC7757W79P,27.0(2)SE2,Bootstrap,16.0,26.0,10.0,99d:18h:49m:0s,Jan-23-26 02:08:54,Jan-23-26 02:08:54,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPS,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,Colonnade South,3535 COLONNADE PKWY BLDG SOUTH,,BIRMINGHAM,AL,35243-2346,33.435593,-86.727862,Jefferson,FO-AL-BIRMINGHAM NORTHEAST,SCS,False,,2027-01-31,336.0
ALYBNSW02,33.88.182.2,Router,Active,Cisco,CGS-2520-16S-8PC,QOC3739T8CW,27.2(8)E2,Bootstrap,0.0,26.0,26.0,1181d:3h:14m:0s,Jan-23-26 02:17:59,Jan-23-26 02:17:59,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YBN,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,Billingsley 500 SS,3305 COUNTY ROAD 26,PSOT,BILLINGSLEY,AL,36006-3522,32.651253,-86.732603,Autauga,FO-AL-MONTGOMERY WEST,APC,False,,2027-01-31,336.0
ALLCOSW0101,33.88.180.188,Router,Active,Cisco,CGS-2520-24TC,QOC3773Z399,27.0(2)ED2,Bootstrap,1.0,26.0,25.0, ,Jan-23-26 02:00:30,Jan-23-26 02:00:30,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCO,CGS-2520-24TC,2022-01-11,2027-01-31,Yes,LEEDS TS TELECOM,1928 Montevallo Rd,,Leeds,AL,35094-3722,33.524605,-86.580881,Jefferson,FO-AL-BIRMINGHAM EAST,APC,False,,2027-01-31,336.0
ALPGDSWMW02,33.88.22.132,Router,Active,Cisco,CGS-2520-24TC,QOC7838Z8BC,27.0(2)EK2,Bootstrap,0.0,26.0,26.0,1801d:22h:10m:0s,Jan-23-26 01:01:43,Jan-23-26 01:01:43,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PGD,CGS-2520-24TC,2022-01-11,2027-01-31,Yes,Plant Gadsden,1000 GOODYEAR AVE,,GADSDEN,AL,35903-1109,34.013076,-85.978725,Etowah,FO-AL-GADSDEN,APC,False,,2027-01-31,336.0
ALYCISW02,33.88.52.130,Router,Active,Cisco,CGS-2520-16S-8PC,QOC3778Z78Z,27.0(2)ED2,Bootstrap,0.0,26.0,26.0,1362d:3h:30m:0s,Jan-23-26 01:21:39,Jan-23-26 01:21:39,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YCI,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,Chickasaw TS Substation,400 VIADUCT ROAD,,CHICKASAW,AL,366110000,30.763042,-88.058875,Mobile,FO-AL-MOBILE SOUTHEAST,APC,False,,2027-01-31,336.0
ALYEISW02,33.88.52.88,Router,Active,Cisco,CGS-2520-16S-8PC,QOC3379T7Q3,27.2(7)E2,Bootstrap,0.0,26.0,26.0,1108d:2h:57m:0s,Jan-23-26 02:08:29,Jan-23-26 02:08:29,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YEI,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,Ellicott Substation,15300 HIGHWAY 43,PSOT,MT VERNON,AL,36512-2001,30.996064,-88.030258,Mobile,FO-AL-MOBILE BARRY,APC,False,,2027-01-31,336.0
ALYSNSW02,33.88.55.130,Router,Active,Cisco,CGS-2520-16S-8PC,QOC3775Z775,27.2(8)E2,Bootstrap,0.0,26.0,26.0,1032d:1h:44m:0s,Jan-23-26 01:17:37,Jan-23-26 01:17:37,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YSN,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,Snowdoun TS,1825 HOBBIE ROAD,PSOT,SNOWDOUN,AL,361050000,32.228998,-86.260089,MONTGOMERY,FO-AL-MONTGOMERY WEST,APC,False,,2027-01-31,336.0
ALYMOSW02,33.88.55.88,Router,Active,Cisco,CGS-2520-16S-8PC,QOC7939Z7UG,27.2(8)E2,Bootstrap,0.0,26.0,26.0,912d:0h:47m:0s,Jan-23-26 02:13:06,Jan-23-26 02:13:06,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YMO,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,Montgomery SS,3300 OLD SELMA RD,PSOT,MONTGOMERY,AL,361080000,32.356935,-86.373568,Montgomery,FO-AL-MONTGOMERY WEST,APC,False,,2027-01-31,336.0
ALYWESW02,33.88.55.185,Router,Active,Cisco,CGS-2520-16S-8PC,QOC3379T7PP,27.0(2)SE2,Bootstrap,0.0,26.0,26.0,1055d:3h:22m:0s,Jan-23-26 02:19:41,Jan-23-26 02:19:41,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YWE,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,Webb TS,6826 EAST STATE HIGHWAY 52,,WEBB,AL,363760000,31.252011,-85.288949,Houston,FO-AL-DOTHAN EAST,APC,False,,2027-01-31,336.0
ALYSBSW02,158.115.218.130,Router,Active,Cisco,CGS-2520-16S-8PC,QOC7938Z855,27.2(8)E2,Bootstrap,0.0,26.0,26.0,1716d:5h:29m:0s,Jan-23-26 02:15:02,Jan-23-26 02:15:02,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YSB,CGS-2520-16S-8PC,2022-01-11,2027-01-31,Yes,South Bessemer Substation,5417 GREYHILL ROAD,PSOT,WEST BLOCTON,AL,351840000,33.219455,-87.0634,BIBB,FO-AL-BIRMINGHAM SOUTHWEST,APC,False,,2027-01-31,336.0
