Host Name,Device IP,Device Type,Device Status,Device Vendor,Device Model,Serial Number,Software Version,Firmware Version,Free Ports,Total Ports,Ports In Use,Uptime,Last Successful Snapshot,Last Snapshot Attempt,Last Snapshot Result,Device Type Standard,associatedWlcIp,deviceSupportLevel,dnsResolvedManagementAddress,errorCode,family,id,instanteTenantId,instanteUuid,interfaceCount,inventoryStatusDetail,lastDeviceResyncStartTime,lastManagedResyncReasons,lastUpdated,lastUpdateTime,lineCardCount,lineCardId,location,locationName,macAddress,managedAtleastOnce,managementState,memorySize,pendingSyncRequestsCount,platformId,reachabilityFailureReason,reachabilityStatus,reasonsForDeviceResync,reasonsForPendingSyncRequests,role,roleSource,serialNumber,series,snmpContact,softwareType,softwareVersion,syncRequestedByApp,tagCount,tunnelUdpPort,type,upTime,uptimeSeconds,vendor,waasDeviceMode,Unnamed: 44,clientCount,clientCount_2_4GHz,clientCount_5GHz,controllerIpAddress,controllerName,countryCode,ethernetMac,hreapEnabled,ipAddress,lwappUpTime,model,status,DateAdded,adminStatus,ArchiveDate,collectionStatus,collectionTime,creationTime,deviceType,managementStatus,manufacturer_part_name,manufacturer_part_partNumber,manufacturer_part_serialNumber,productFamily,reachability,Site Code Extracted,Model,EoS,EoL,In Scope?,Site Name,Street Address 1,Street Address 2,City,State,Zip,Latitude,Longitude,PhysicalAddressCounty,Call Group,Owner,Exception_Flag,Exception_Reason,EoL_Date,Days_to_EoL
CABKWLHLINT01,33.1.20.235,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3873Y73W,27.2(2)E8, ,0.0,10.0,10.0, ,Jan-23-26 02:09:13,Jan-23-26 02:09:13,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BKW,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,Blackwell Solar Facility,17544 HWY 46,,LOST HILLS,CA,93249-0000,35.618738,-119.854107,KERN,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,False,,2025-10-31,-121.0
ALANASW0201,33.1.23.80,Switch,Active,Cisco,WS-C2960C-8PC-L,QOT7939W77Y,27.0(2)SE8,Bootstrap,4.0,10.0,6.0,229d:8h:22m:0s,Jan-23-26 01:17:11,Jan-23-26 01:17:11,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANA,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,Anniston Demil Solar Facility,688 HARRY AIRES DRIVE,,EASTABOGA,AL,362010000,33.685102,-85.972976,Calhoun,FO-AL-ANNISTON,APC,False,,2025-10-31,-121.0
ALANASW0401,33.1.23.01,Switch,Active,Cisco,IE-3000-8TC,QOC3738Z3RB,27.0(2)EY3,Bootstrap,5.0,10.0,5.0,417d:3h:25m:0s,Jan-23-26 02:05:17,Jan-23-26 02:05:17,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANA,IE-3000-8TC,2020-06-30,2025-06-30,Yes,Anniston Demil Solar Facility,688 HARRY AIRES DRIVE,,EASTABOGA,AL,362010000,33.685102,-85.972976,Calhoun,FO-AL-ANNISTON,APC,False,,2025-06-30,-244.0
GAFGDSW0101,33.1.28.2,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3777W7YT,27.0(2)SE8,Bootstrap,0.0,10.0,10.0, ,Jan-23-26 01:04:44,Jan-23-26 01:04:44,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FGD,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,Fort Gordon Solar,4105 GA-540,,Augusta,GA,309090000,33.38297,-82.13626,Richmond,FO-GA-SE-AUGUSTA 2,GPC,False,,2025-10-31,-121.0
GAFSRSW0101,33.1.28.35,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3777W7Z7,27.0(2)SE8,Bootstrap,3.0,10.0,7.0,181d:20h:55m:0s,Jan-23-26 02:17:38,Jan-23-26 02:17:38,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSR,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,Fort Stewart Solar ,1318 FS ROAD 47,,FORT STEWART,GA,31314-5044,31.894289,-81.590406,Liberty,FO-GA-SE-SAVANNAH 3,GPC,False,,2025-10-31,-121.0
GAKGBSW0101,33.1.28.88,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3777W778,27.0(2)SE8,Bootstrap,0.0,10.0,10.0,495d:4h:27m:0s,Jan-23-26 01:08:01,Jan-23-26 01:08:01,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KGB,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,King's Bay Solar,890 USS HUNLEY AVE BLDG 2005,,KINGS BAY,GA,315470000,30.82792,-81.55613,Camden,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,False,,2025-10-31,-121.0
GAXGZSW04,33.33.182.5,L3Switch,Active,Cisco,WS-C3850-24T,QOC7938X38M,28.22.24,IOS-XE,0.0,33.0,33.0,1742d:4h:24m:0s,Jan-23-26 02:08:44,Jan-23-26 02:08:44,Configuration unchanged,L3Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGZ,WS-C3850-24T,2020-10-30,2025-10-31,Yes,GPC - Corp HQ DMZ-Web,241 RALPH MCGILL BLVD NE,,ATLANTA,GA,30308-3374,33.76361,-84.38194,Fulton,FO-GA-NE-METRO SOUTHEAST,GPC,False,,2025-10-31,-121.0
ALXAZSW04,33.33.183.5,L3Switch,Active,Cisco,WS-C3850-24T,QOC7938U7UK,28.22.24,IOS-XE,0.0,33.0,33.0,1130d:7h:38m:0s,Jan-23-26 02:14:30,Jan-23-26 02:14:30,Configuration unchanged,L3Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAZ,WS-C3850-24T,2020-10-30,2025-10-31,Yes,APC - Corp Hdqtrs Internet DMZ,600 18TH ST N,,BIRMINGHAM,AL,35203-2206,33.518603,-86.812287,Jefferson,FO-APCCORP-APC CORP HQ BLT HUB,APC,False,,2025-10-31,-121.0
GAHRTSWWAN01,33.33.188.88,Switch,Active,Cisco,IE-3000-4TC,QOC7857W3LQ,27.0(2)EY2,Bootstrap,0.0,6.0,6.0,1507d:1h:39m:0s,Jan-23-26 01:39:47,Jan-23-26 01:39:47,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRT,IE-3000-4TC,2020-06-30,2025-06-30,Yes,Hartwell AO/OH,1551 ZION CME CHURCH RD,,HARTWELL,GA,30643-4696,34.325398,-82.966561,Hart,FO-GA-NE-ATHENS EAST,GPC,False,,2025-06-30,-244.0
ALXAPSWAUDIT01,33.115.18.5,L3Switch,Active,Cisco,WS-C3850-48T,QOC3777X7MM,03.07.02E,IOS-XE,0.0,57.0,57.0,1130d:7h:8m:0s,Jan-23-26 01:14:48,Jan-23-26 01:14:48,Configuration unchanged,L3Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAP,WS-C3850-48T,2020-10-30,2025-10-31,Yes,APC - Corp Hdqtrs,600 18TH ST N,,BIRMINGHAM,AL,35203-2206,33.518603,-86.812287,Jefferson,FO-APCCORP-APC CORP HQ BLT HUB,APC,False,,2025-10-31,-121.0
MSHMFROVG02,33.133.335.33,Router,Active,Cisco,VG224,QTX7973ZHKH,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,1033d:22h:32m:0s,Jan-23-26 02:08:40,Jan-23-26 02:08:40,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMF,VG224,2015-04-24,2020-04-30,Yes,Pine Belt Srvc Cntr - Matls Facility,5082 HIGHWAY 42,,HATTIESBURG,MS,39401-2873,31.347122,-89.3183,Forrest,FO-MS-O-CENTRAL,MPC,False,,2020-04-30,-2131.0
MSHMFROVG01,33.133.335.8,Router,Active,Cisco,VG224,QHK7388Q87M,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,1215d:21h:44m:0s,Jan-23-26 02:10:19,Jan-23-26 02:10:19,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMF,VG224,2015-04-24,2020-04-30,Yes,Pine Belt Srvc Cntr - Matls Facility,5082 HIGHWAY 42,,HATTIESBURG,MS,39401-2873,31.347122,-89.3183,Forrest,FO-MS-O-CENTRAL,MPC,False,,2020-04-30,-2131.0
MSLSCROVG01,33.133.338.5,Router,Active,Cisco,VG224,QTX7737ZMDU,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,1106d:23h:27m:0s,Jan-23-26 01:06:29,Jan-23-26 01:06:29,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSC,VG224,2015-04-24,2020-04-30,Yes,Laurel Srvc Cntr - Matls Facility,108 MASON ST,,LAUREL,MS,39440-4448,31.689103,-89.137195,Jones,FO-MS-O-NORTH CENTRAL,MPC,False,,2020-04-30,-2131.0
MSGSISW01,33.133.12.5,Switch,Active,Cisco,WS-C2960S-48FPS-L,"QOC7877Y8H8,QOC7877Y8GK",27.0(2)SE3,Bootstrap,1.0,105.0,104.0,1034d:16h:55m:0s,Jan-23-26 02:10:57,Jan-23-26 02:10:57,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSI,WS-C2960S-48FPS-L,2015-11-06,2020-11-30,Yes,Gulf Ship Island Bldg,2605 13TH ST,,GULFPORT,MS,39501-1916,30.366826,-89.094057,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,True,Decommissioned site,2020-11-30,-1917.0
MSGSISW02,33.133.12.5,Switch,Active,Cisco,WS-C2960S-48FPS-L,"QOC7877Y8GQ,QOC7877Y8H7",27.0(2)SE3,Bootstrap,4.0,105.0,101.0,108d:20h:14m:0s,Jan-23-26 02:08:57,Jan-23-26 02:08:57,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSI,WS-C2960S-48FPS-L,2015-11-06,2020-11-30,Yes,Gulf Ship Island Bldg,2605 13TH ST,,GULFPORT,MS,39501-1916,30.366826,-89.094057,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,True,Decommissioned site,2020-11-30,-1917.0
MSGSIROVG01,33.133.12.8,Router,Active,Cisco,VG224,QTX7838ZH8D,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,1034d:17h:56m:0s,Jan-23-26 01:08:37,Jan-23-26 01:08:37,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSI,VG224,2015-04-24,2020-04-30,Yes,Gulf Ship Island Bldg,2605 13TH ST,,GULFPORT,MS,39501-1916,30.366826,-89.094057,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,True,Decommissioned site,2020-04-30,-2131.0
MSPSWSW0301,33.133.13.3,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC7787Y8LT,27.2(7)E7,Bootstrap,0.0,10.0,10.0,0d:0h:2m:0s,Jan-23-26 01:08:48,Jan-23-26 01:08:48,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSW,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,Plant Sweatt - Common,5118 VALLEY RD # 5118,,MERIDIAN,MS,39307-9417,32.293026,-88.744847,Lauderdale,FO-MS-O-NORTH,MPC,True,Decommissioned site,2025-10-31,-121.0
MSPDNGYPSESTACK01,33.133.35.230,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3335Y77W,27.2(2)E8,Bootstrap,1.0,10.0,9.0, ,Jan-23-26 02:03:45,Jan-23-26 02:03:45,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDN,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,Plant Daniel - Common,13201 HIGHWAY 63,,MOSS POINT,MS,39562-6489,30.529797,-88.554772,Jackson,FO-MS-O-SOUTH CENTRAL,MPC,False,,2025-10-31,-121.0
MSBSCSW0301,33.133.50.5,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC7978W7ZK,27.0(2)SE4,Bootstrap,0.0,10.0,10.0,228d:21h:20m:0s,Jan-23-26 02:00:38,Jan-23-26 02:00:38,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSC,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,Biloxi Service Center,245 OAK ST,,BILOXI,MS,39530-4540,30.40083,-88.86833,Harrison,FO-MS-O-SOUTH,MPC,False,,2025-10-31,-121.0
MSBSCROVG01,33.133.50.5,Router,Active,Cisco,VG224,QGL785377CQ,27.2(4)M9,37.3(7r)T7,1.0,26.0,25.0,228d:22h:7m:0s,Jan-23-26 01:42:21,Jan-23-26 01:42:21,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSC,VG224,2015-04-24,2020-04-30,Yes,Biloxi Service Center,245 OAK ST,,BILOXI,MS,39530-4540,30.40083,-88.86833,Harrison,FO-MS-O-SOUTH,MPC,False,,2020-04-30,-2131.0
