Site Code,Latitude,Longitude,PhysicalAddressCounty,Call Group,Owner,Cluster_ID
A14,32.4798,-84.99174,Muscogee,FO-GA-SW-COLUMBUS,GPC,1
A17,30.82553,-83.28925,Lowndes,FO-GA-SW-VALDOSTA,GPC,2
AAB,34.3071972,-86.4696917,,FO-AL-ALBERTVILLE,SOLINC,1
AAO,32.102944,-84.208918,Sumter,FO-GA-SW-AMERICUS,GPC,3
AAV,32.562281,-85.508903,Lee,FO-AL-PHENIX CITY,APC,1
AAZ,32.562281,-85.508903,Lee,FO-AL-PHENIX CITY,APC,1
ABB,31.62337,-85.21599,Henry,FO-AL-EUFAULA,APC,4
ABE,32.080184,-81.089307,Chatham,FO-GA-SE-SAVANNAH 1,GPC,5
ABN,33.645969,-85.461461,Cleburne,FO-AL-ANNISTON,APC,1
ABO,33.47139,-81.97833,Richmond,FO-GA-SE-AUGUSTA 2,GPC,1
ABP,30.355333,-88.132416,Mobile,FO-AL-MOBILE SOUTHWEST,APC,6
ABR,31.6003111,-83.0246528,AMBROSE,FO-GA-SE-WAYCROSS,GPC,7
ABV,31.9893,-83.3123,Wilcox,FO-GA-SW-PERRY,GPC,1
ACH,31.059307,-87.474051,Escambia,FO-AL-SOUTH-MOBILE BLT HUB,APC,6
ACQ,33.656672,-85.835613,Calhoun,FO-AL-ANNISTON,APC,1
ACT,34.076708,-84.64854,Cobb,FO-GA-NW-COBB,GPC,1
ACW,33.283083,-85.836222,Clay,FO-AL-ASHLAND,APC,1
ADA,34.369596,-84.947727,Bartow,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
ADB,35.107425,-118.958067,Kern,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,8
ADC,33.981335,-83.390304,CLARKE,FO-GA-NE-ATHENS WEST,GPC,1
ADE,31.171918,-83.3658,Cook,FO-GA-SW-VALDOSTA,GPC,9
ADM,33.607516,-86.951272,Jefferson,FO-AL-BIRMINGHAM NORTHWEST,APC,1
ADU,33.656446,-85.827227,Calhoun,FO-AL-ANNISTON,APC,1
AE1,36.6777802,-78.3747589,Mecklenburg,FO-GA-SE-NATIONAL,GPC,10
AE2,36.6827668,-78.3762832,Mecklenburg,FO-GA-SE-NATIONAL,GPC,10
AEA,33.959835,-83.378849,CLARKE,FO-GA-NE-ATHENS EAST,GPC,1
AER,34.636533,-83.610217,AERIAL,FO-GA-NE-CORNELIA,GPC,1
AFB,32.37168,-86.34107,,FO-AL-MONTGOMERY WEST,APC,1
AFD,31.19,-85.23417,Houston,FO-AL-DOTHAN EAST,APC,11
AFO,31.606907,-84.150435,Dougherty,FO-GA-SW-BAINBRIDGE,GPC,12
AGE,33.65722,-85.83444,Calhoun,FO-AL-ANNISTON,APC,1
AGL,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,1
AHN,31.741613,-83.653089,Turner,FO-GA-SE-WAYCROSS,GPC,13
AHS,34.786167,-86.975966,Limestone,FO-AL-BIRMINGHAM NORTH,SOLINC,1
AIP,33.805039,-84.4945,Fulton,FO-GA-NW-COBB,GPC,1
AIR,30.673842,-88.125855,Mobile,FO-AL-MOBILE SOUTHWEST,APC,6
AKS,33.134756,-115.467808,IMPERIAL,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,14
ALA,31.395259,-83.240118,Berrien,FO-GA-SE-WAYCROSS,GPC,15
ALB,31.605029,-84.148434,Dougherty,FO-GA-SW-BAINBRIDGE,GPC,12
ALE,32.948344,-85.977196,Tallapoosa,FO-AL-ASHLAND,APC,1
ALH,33.083618,-115.466767,IMPERIAL,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,14
ALI,33.099264,-88.101836,Pickens,FO-AL-FAYETTE,APC,1
ALN,33.32893,-86.19294,,FO-AL-ASHLAND,APC,1
ALO,32.165608,-82.741031,Wheeler,FO-GA-SE-BAXLEY,GPC,16
ALP,34.064655,-84.27276,Fulton,FO-GA-NE-CUMMING,GPC,1
ALR,33.242012,-86.814651,Shelby,FO-AL-BIRMINGHAM SOUTHWEST,APC,1
ALT,33.5132,-86.7586,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN SOUTH,APC,1
ALV,34.2827,-86.2198,Marshall,FO-AL-ALBERTVILLE,SOLINC,1
ALX,32.937457,-85.969639,Tallapoosa,FO-AL-ASHLAND,APC,1
ALY,31.54734,-84.31447,Dougherty,FO-GA-SW-BAINBRIDGE,GPC,12
AMB,33.981526,-83.389417,Clarke,FO-GA-NE-ATHENS EAST,GPC,1
AMC,32.057113,-84.174698,Sumter,FO-GA-SW-AMERICUS,GPC,3
AMD,33.37389,-84.29611,Henry,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
AMR,32.102944,-84.208918,Sumter,FO-GA-SW-AMERICUS,GPC,3
AMS,34.369596,-84.947727,Bartow,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
AMT,34.73072,-86.5876,Madison,FO-AL-BIRMINGHAM NORTH,SOLINC,1
AMW,31.432998,-84.728714,Early,FO-GA-SW-BAINBRIDGE,GPC,17
AN1,41.036937,-88.910078,,FO-GA-SE-ILLINOIS-SOUTH,SOGAS,18
ANA,33.685102,-85.972976,Calhoun,FO-AL-ANNISTON,APC,1
ANC,41.120867,-88.835352,LaSalle,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,18
AND,31.30139,-86.51556,Covington,FO-AL-DOTHAN WEST,APC,19
ANN,33.6448,-85.8474,Calhoun,FO-AL-ANNISTON,APC,1
ANO,41.025073,-74.757928,Sussex,FO*-SJI Contacts,SOGAS,20
ANR,31.1103278,-82.5629583,MANOR,FO-GA-SE-WAYCROSS,GPC,21
ANS,33.6567,-85.8261,Calhoun,FO-AL-ANNISTON,APC,1
ANW,33.655754,-85.835463,Calhoun,FO-AL-ANNISTON,APC,1
AOD,31.178032,-85.257833,Houston,FO-AL-DOTHAN EAST,APC,11
AON,33.6551389,-82.6071944,AONIA,FO-GA-SE-AUGUSTA 1,GPC,22
APL,31.57434,-82.258587,Appling,FO-GA-SE-BAXLEY,GPC,23
APP,33.53731,-82.30922,Columbia,FO-GA-SE-AUGUSTA 1,GPC,1
APS,33.521424,-86.815596,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN NORTH,APC,1
APW,38.893738,-77.020512,District of Columbia,FO-GA-SE-NATIONAL,SCS,24
APX,36.393133,-114.964864,Clark,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,25
ARA,33.518603,-86.812287,Jefferson,FO-APCCORP-APC CORP HQ BLT HUB,APC,1
ARC,33.41435,-86.67794,Shelby,FO-AL-BIRMINGHAM NORTHEAST,APC,1
ARD,33.9196111,-83.2515889,,FO-GA-NE-ATHENS EAST,GPC,1
ARE,33.71431,-84.306446,,FO-GA-NE-METRO SOUTHEAST,SOGAS,1
ARF,33.479602,-81.968266,Richmond,FO-GA-SE-AUGUSTA 2,GPC,1
ARG,31.452704,-84.738974,Calhoun,FO-GA-SW-BAINBRIDGE,GPC,17
ARH,34.390045,-85.177367,Floyd,FO-GA-NW-FLOYD & NORTH,GPC,1
ARI,31.5705,-85.7524,Dale,FO-AL-EUFAULA,APC,11
ARM,32.375071,-86.303819,Montgomery,FO-AL-MONTGOMERY EAST,APC,1
ARN,31.6834722,-84.3079722,,FO-GA-SW-BAINBRIDGE,GPC,12
ARR,34.1104222,-86.1838389,AURORA,FO-AL-ALBERTVILLE,APC,1
ART,33.91694,-84.54056,Cobb,FO-GA-NW-COBB,GPC,1
ARW,32.928775,-83.735466,Bibb,FO-GA-SW-MACON-WEST,GPC,1
ASA,34.3271389,-83.3634722,ASHLAND (GA),FO-GA-NE-GAINESVILLE,GPC,1
ASB,32.980975,-86.915592,Bibb,FO-AL-BIRMINGHAM SOUTH,APC,1
ASC,33.776302,-84.412476,Fulton,FO-GA-NW-METRO NORTHWEST,GPC,1
ASD,33.2605,-85.8423,Clay,FO-AL-ASHLAND,APC,1
ASF,33.800211,-84.628496,Douglas,FO-GA-NW-COBB,GPC,1
ASL,33.283591,-85.83406,Clay,FO-AL-ASHLAND,APC,1
ASP,33.752262,-84.392491,Fulton,FO-GA-NW-METRO NORTHWEST,GPC,1
AST,33.283591,-85.83406,Clay,FO-AL-ASHLAND,APC,1
ASV,33.768858,-86.280136,St. Clair,FO-AL-ALBERTVILLE,APC,1
ASW,33.659139,-84.374766,Fulton,FO-GA-NE-METRO SOUTHEAST,GPC,1
ATA,33.770487,-84.405656,Fulton,FO-GA-NW-METRO NORTHWEST,SOGAS,1
ATC,33.980039,-83.390942,CLARKE,FO-GA-NE-ATHENS EAST,GPC,1
ATE,33.981103,-83.399924,Clarke,FO-GA-NE-ATHENS EAST,SOGAS,1
ATF,33.967232,-83.398826,Clarke,FO-GA-NE-ATHENS EAST,GPC,1
ATL,34.0435556,-86.1245833,,FO-AL-ALBERTVILLE,APC,1
ATM,31.022442,-87.489678,Escambia,FO-AL-SOUTH-MOBILE BLT HUB,APC,6
ATN,34.015207,-83.484773,Jackson,FO-GA-NE-GAINESVILLE,GPC,1
ATO,34.233191,-85.235013,Floyd,FO-GA-NW-FLOYD & NORTH,GPC,1
ATP,32.554,-85.535997,Lee,FO-AL-PHENIX CITY,APC,1
ATR,31.022885,-87.489531,Escambia,FO-AL-MOBILE NORTHEAST,APC,6
ATT,34.0228,-86.0881,Etowah,FO-AL-GADSDEN,APC,1
AUA,32.41361,-86.70139,Autauga,FO-AL-MONTGOMERY WEST,APC,1
AUB,32.574212,-85.498159,Lee,FO-AL-PHENIX CITY,APC,1
AUC,32.602253,-85.510089,Lee,FO-AL-PHENIX CITY,APC,1
AUF,33.452789,-82.067903,Richmond,FO-GA-SE-AUGUSTA 2,GPC,1
AUG,33.479155,-81.984151,Richmond,FO-GA-SE-AUGUSTA 2,GPC,1
AUN,32.62209,-85.50139,Lee,FO-AL-PHENIX CITY,APC,1
AUR,32.6081,-85.47624,Lee,FO-AL-PHENIX CITY,APC,1
AUS,33.800012,-84.627584,Douglas,FO-GA-NW-COBB,GPC,1
AUU,32.5849,-85.4934,Lee,FO-AL-PHENIX CITY,APC,1
AUW,33.487785,-82.130685,Columbia,FO-GA-SE-AUGUSTA 1,SOGAS,1
AVD,33.530614,-86.781642,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN NORTH,APC,1
AVE,31.2635306,-88.7339306,,FO-MS-O-CENTRAL,MPC,26
AVL,33.129306,-88.154131,Pickens,FO-AL-FAYETTE,APC,1
AVO,33.1509278,-84.615725,ALVATON,FO-GA-SW-COLUMBUS,GPC,1
AW1,36.7384625,-119.7868358,Fresno,FO-GA-SE-NATIONAL,APC,27
AW2,47.240076,-119.879565,Grant,FO-GA-SE-NATIONAL,APC,28
AWH,33.513651,-86.820059,,FO-AL-BIRMINGHAM DOWNTOWN NORTH,APC,1
B67,31.001631,-88.019795,Mobile,FO-AL-MOBILE BARRY,APC,6
BAA,41.864955,-88.28374,Kane,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,29
BAB,31.27079,-86.33421,Covington,FO-AL-DOTHAN WEST,APC,19
BAE,31.934035,-85.206088,Barbour,FO-AL-EUFAULA,APC,1
BAI,30.913971,-84.603277,Decatur,FO-GA-SW-BAINBRIDGE,GPC,30
BAL,31.78347,-82.364136,Appling,FO-GA-SE-BAXLEY,GPC,16
BAN,33.067885,-84.135312,Lamar,FO-GA-SW-MACON-WEST,GPC,1
BAP,33.5583,-86.7709,Jefferson,FO-AL-BIRMINGHAM NORTH,SCS,1
BAR,32.666818,-85.082159,Harris,FO-GA-SW-COLUMBUS,GPC,1
BAS,32.0274889,-89.2819333,,FO-MS-O-NORTH CENTRAL,MPC,6
BAT,33.5695,-86.7605,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN NORTH,APC,1
